Posted_date,Discount_amount,Posted_year,Posted_month,Posted_month_year,Posted_dayofweek,Posted_day,Posted_dayofyear,days_awayNew Year's Day,"days_awayMartin Luther King, Jr. Day",days_awayWashington's Birthday,days_awayMemorial Day,days_awayIndependence Day,days_awayLabor Day,days_awayColumbus Day,days_awayVeterans Day,days_awayThanksgiving,days_awayChristmas Day,distance_away_holiday,Posted_weekofmonth,Discount_YesOrNo,lag_1_Discount_YesOrNo,lag_2_Discount_YesOrNo,lag_3_Discount_YesOrNo,lag_4_Discount_YesOrNo,lag_5_Discount_YesOrNo,lag_6_Discount_YesOrNo,lag_7_Discount_YesOrNo,lag_past_15_sum,lag_past_15_max_amount,lag_past_15_mean_amount,lag_past_30_sum,lag_past_30_max_amount,lag_past_30_mean_amount,Discount_next_7days,Discount_next_14days,target
2017-10-10,0.0,2017,10,2017-10,1,10,283,0.0,0.0,0.0,0.0,0.0,0.0,0.9975031223974601,0.0,0.0,0.0,0.9975031223974601,2,0,,,,,,,,,,,,,,0.0,0.0,0
2017-10-11,0.0,2017,10,2017-10,2,11,284,0.0,0.0,0.0,0.0,0.0,0.0,0.9900498337491681,0.0,0.0,0.0,0.9900498337491681,2,0,0.0,,,,,,,,,,,,,0.0,0.0,0
2017-10-12,0.0,2017,10,2017-10,3,12,285,0.0,0.0,0.0,0.0,0.0,0.0,0.9777512371933363,0.0,0.0,0.0,0.9777512371933363,2,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0
2017-10-13,0.0,2017,10,2017-10,4,13,286,0.0,0.0,0.0,0.0,0.0,0.0,0.9607894391523232,0.0,0.0,0.0,0.9607894391523232,2,0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0
2017-10-14,0.0,2017,10,2017-10,5,14,287,0.0,0.0,0.0,0.0,0.0,0.0,0.9394130628134758,0.0,0.0,0.0,0.9394130628134758,3,0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0
2017-10-15,0.0,2017,10,2017-10,6,15,288,0.0,0.0,0.0,0.0,0.0,0.0,0.9139311852712282,0.0,0.0,0.0,0.9139311852712282,3,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0
2017-10-16,0.0,2017,10,2017-10,0,16,289,0.0,0.0,0.0,0.0,0.0,0.0,0.8847059049434836,0.0,0.0,0.0,0.8847059049434836,3,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0
2017-10-17,0.0,2017,10,2017-10,1,17,290,0.0,0.0,0.0,0.0,0.0,0.0,0.8521437889662113,0.0,0.0,0.0,0.8521437889662113,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0
2017-10-18,0.0,2017,10,2017-10,2,18,291,0.0,0.0,0.0,0.0,0.0,0.0,0.8166864825981108,0.0,0.0,0.0,0.8166864825981108,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0
2017-10-19,0.0,2017,10,2017-10,3,19,292,0.0,0.0,0.0,0.0,0.0,0.0,0.7788007830714049,0.0,0.0,0.0,0.7788007830714049,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0
