End_date,Title,Description,Posted_date,Comments_count,Bookmarks_count,Shares_count,Posted_year,Posted_month,Posted_month_year,End_year,End_month,End_month_year
2014-03-06,Expired Up to 50% off + Extra 20% off Nike Jordan Clearance Sale / Expired Up to 50% off + Extra 20% off Nike Clearance Sale / Expired Nike Men's Air Max 95 DF Sneakers / Expired Nike Men's Zoom Hyperflight Premium Shoes / Expired Nike Women's Free 3.0 V5 Ext Running Shoes / Expired Nike Shield Sphere Nailhead Men's Training Hoodie / Expired Nike Free Hyperfeel Women's Running Shoe / Expired Nike Air Foamposite Pro Premium LE Men's Shoe / Expired Nike Women's Windrunner Flash-Printed Jacket / Expired Nike Air Max 2014 Men's Running Shoe / Expired Nike Men's Air Pegasus+ 30 Running Shoes / Expired Nike Women's Studio Wrap Training Shoes / Expired Nike Men's Windrunner Packable Jacket / Expired Nike Free Run 2 SneakerBoot Mens Shoes / Expired Nike Air Cage Court Women's Tennis Shoe / Expired Nike Men's Air Vapor Advantage Tennis Shoes,"Last Day! Nike Store offers Jordan shoes up to 50% off Clearance Sale + an extra 20% off with coupon code BESTINGAME
Free Shipping on orders over $75
Deal expires 3/6. / Ending Soon! Nike Store offers up to 50% off Clearance Sale + an extra 20% off with coupon code BESTINGAME
Free Shipping on orders over $75
Deal expires 3/6.
Clearance Jordan Shoes
Men's Clearance
Women's Clearance
Boys' Clearance
Girls' Clearance / Nike offers the Nike Men's Air Max 95 DF Sneakers in four colors, for $115.98 with free shipping via coupon code ""BESTINGAME"".
Deal expires 3/6. / Nike offers the Nike Men's Zoom Hyperflight Premium Shoes in two colors, for $71.98 via coupon code ""BESTINGAME"".
Shipping is $8.
Deal expires 3/6. / Nike offers the Nike Women's Free 3.0 V5 Ext Running Shoes in three colors, for $51.98 via coupon code ""BESTINGAME"".
Shipping is $8.
Deal expires 3/6. / Nike Store offers Nike Shield Sphere Nailhead Men's Training Hoodie for $75.98 with free shipping.
Deal expires 3/6. / Nike Store offers Nike Free Hyperfeel Women's Running Shoe for $111.98 via coupon code ""BESTINGAME"" with free shipping.
Deal expires 3/6. / Nike Store offers Nike Air Foamposite Pro Premium LE Men's Shoe for $175.98 via coupon code ""BESTINGAME"" with free shipping.
Deal expires 3/6. / Nike Store offers Nike Women's Windrunner Flash-Printed Jacket for $63.98 via coupon code ""BESTINGAME"" with $8 for shipping.
Deal expires 3/6. / Nike Store offers Nike Air Max 2014 Men's Running Shoe for $115.98 via coupon code ""BESTINGAME"" with free shipping.
Deal expires 3/6. / Nike offers the Nike Men's Air Pegasus+ 30 Running Shoes in Orange/Black, for $63.98 via coupon code ""BESTINGAME"".
Shipping is $8.
Deal expires 3/6. / Nike offers the Nike Women's Studio Wrap Training Shoes for $23.98 via coupon code ""BESTINGAME"".
Shipping is $8.
Deal expires 3/6. / Nike offers its Nike Men's Windrunner Packable Jacket for $79.97.
Coupon code ""BESTINGAME"" drops it to $63.98. With $8 for shipping.
Deal ends 3/6. / Nike Store offers Nike Free Run 2 SneakerBoot Mens Shoes for $79.98 via coupon code ""BESTINGAME"" with free shipping.
Deal expires 3/6. / Nike Store offers Nike Air Cage Court Women's Tennis Shoe for $31.98 via coupon code ""BESTINGAME"" with $8 for shipping.
Deal expires 3/6. / Nike offers the Nike Men's Air Vapor Advantage Tennis Shoes in two colors, for $39.98 via coupon code ""BESTINGAME"".
Shipping is $8.
Deal expires 3/6.",2014-02-23,272.0,52.0,0.0,2014,2,2014-02,2014,3,2014-03
2014-04-16,Expired Nike Zoom Streak LT 2 Unisex Running Shoe,"Nike Store offers Nike Zoom Streak LT 2 unisex running shoes for $59.97
Shipping is $8, or free shipping on orders over $75 . Use coupon code ""RUNFREE"" get free shipping upgraded to 2-Day.
Deal expires 4/16.",2014-04-12,0.0,1.0,0.0,2014,4,2014-04,2014,4,2014-04
2014-05-20,Expired Nike Women's Free 4.0 Print Running Shoes / Expired Nike Men's Aeroloft Kampai Snowboarding Jacket / Expired Nike Men's Free 5.0+ Shield Running Shoes / Expired Nike Toddler Boys' Air Force 1 Shoes / Expired Nike Men's Solarsoft Costa Low Running Shoes / Expired Nike Men's Free Run 2 Sneakerboot / Expired Nike Men's KO Energy Print Pullover Hoodie / Expired Nike Zoom Crusader Women's Basketball Shoe / Expired Nike Men's Jordan SC-3 Shoes / Expired Nike Men's Air Max 2014 Running Shoes / Expired Nike Men's Air Cage Court Tennis Shoes / Expired Nike Women's Premier Maria Sharapova Tunic Tennis Dress / Expired Nike Men's Explore Running Jacket / Expired Nike Men's Free Trainer 3.0 NRG Shoes,"Nike offers the Nike Women's Free 4.0 Print Running Shoes in Bright Magenta/Black for $79.97.
Coupon code ""BEFAST"" drops to $63.98 with $8 for shipping.
Deal expires 5/20. / Nike Store offers the Nike Men's Aeroloft Kampai Snowboarding Jacket for $215.98 via coupon code ""BEFAST"".
Free Shipping .
Deal ends 5/20. / Nike Store offers the Nike Men's Free 5.0+ Shield Running Shoes for $55.98 via coupon code ""BEFAST"".
Shipping fee is $8.
Deal ends 5/20. / Nike offers the Nike Toddler Boys' Air Force 1 Shoes in Black or Purple for $34.97.
Coupon code ""BEFAST"" drops it to $27.98 with $8 for shipping.
Deal expires 5/20. / Nike offers the Nike Men's Solarsoft Costa Low Running Shoes in Grey for $54.97.
Coupon code ""BEFAST"" drops it to $43.98 with $8 for shipping.
Deal expires 5/20. / Nike Store offers the Nike Men's Free Run 2 Sneakerboots in Pale Grey, Black, or Olive for $99.97.
Coupon code ""BEFAST"" drops it to $79.98 with free shipping.
Deal expires 5/20. / Nike Store offers the Nike Men's KO Energy Print Pullover Hoodie for $31.98 via coupon code ""BEFAST"".
Free Shipping on orders over $75.
Deal expires 5/20. / Nike Store offers the Nike Zoom Crusader Women's Basketball Shoe in Purple for $63.98 via coupon code ""BEFAST"" with free shipping.
Deal expires 5/20. / Nike Store offers the Nike Men's Jordan SC-3 Shoes in four colors, for $79.98 with free shipping via coupon code ""BEFAST"".
Deal expires 5/20. / Nike offers the Nike Men's Air Max 2014 Running Shoes in five colors for $144.97.
Coupon code ""BEFAST"" drops it to $115.98 with free shipping.
Deal expires 5/20. / Nike offers the Nike Men's Air Cage Court Tennis Shoes in White/Crimson/Night/Grey for $39.97.
Coupon code ""BEFAST"" drops it to $31.98 with $8 for shipping.
Deal expires 5/20. / Nike offers the Nike Women's Premier Maria Sharapova Tunic Tennis Dress in Glacier Ice/Black/Matte Silver for $79.97.
Coupon code ""BEFAST"" drops it to $63.98 with $8 for shipping.
Deal expires 5/20. / Nike Store offers the Nike Men's Explore Running Jacket for $75.98 via coupon code ""BEFAST"" with free shipping.
Deal expires 5/20. / Nike offers the Nike Men's Free Trainer 3.0 NRG Running Shoes for $89.97.
Coupon code ""BEFAST"" drops it to $71.97.
Plus, orders over $75 get free shipping.
Deal expires 5/20.",2014-05-10,9.0,11.0,0.0,2014,5,2014-05,2014,5,2014-05
2014-08-26,Expired Up to 50% off + Extra 20% OFF Nike Clearance Sale / Expired Up to 50% Off + Extra 20% Off Nike Jordan Shoes Clearance @ Nike Store / Expired Up to 50% Off + Extra 20% Off Nike Free Women's Running Shoes @ Nike Store / Expired Nike Women's Flex 2013 Running Shoes / Expired Nike Solarsoft Costa Low Men's Shoes / Expired Nike Air Zoom Vomero 9 Running Shoes / Expired Nike Men's Shield Nailhead Full-Zip Hoodie / Expired Nike Men's Fingertrap Max Training Shoes,"Nike Store offers up to 50% off Clearance Sale
Plus an extra 20% OFF sale items with coupon code BIGTIME.
Free shipping on orders over $75.
Deal ends 8/26

Dealmoon Recommends:
Clearance Jordan Shoes
Men's Clearance
Women's Clearance
Boys' Clearance
Girls' Clearance / Nike Store offers up to 50% off + extra 20% off on select Nike Jordan shoes, apparel and accessories, enter coupon code BIGTIME
Free shipping on orders over $75
Deal ends 8/26 / Nike Store offers up to 50% off + an extra 20% off on select women's Nike Free Running Shoes, enter coupon code BIGTIME
Free shipping on orders over $75
Deal ends 8/26 / Nike Store offers the Nike Women's Flex 2013 Running Shoes in Black/Flash Lime/Club Pink for $51.98 via coupon code ""BIGTIME"".
Shipping fee is $8, or free shipping on orders over $75.
Deal ends 8/26. / Nike Store offers the Nike Solarsoft Costa Low Men's Shoes, for $43.98, via Coupon code ""BIGTIME"".
$8 shipping, or free shipping on orders over $75.
Features: compelling mixture of synthetic leather and engineered mesh for an upper inspired by court sport footwear.
Deal expires 8/26. / Nike Store offers the Nike Air Zoom Vomero 9 Running Shoes for women in 4 colors, or for men in Obsidian/Blue/Mango/White, for $83.98 via coupon code ""BIGTIME"".
Free shipping.
Deal ends 8/26. / Nike Store offers the Nike Men's Shield Nailhead Full-Zip Hoodie in 3 colors, for $43.98 via coupon code ""BIGTIME"".
Shipping fee is $8, or free shipping on orders over $75.
Deal ends 8/26. / Nike Store offers the Nike Men's Fingertrap Max Training Shoes in four colors for $79.98 via coupon code ""BIGTIME"".
Free shipping.
Deal ends 8/26.",2014-08-15,98.0,63.0,0.0,2014,8,2014-08,2014,8,2014-08
2014-11-30,"Expired Nike LunarGlide 6 Men's Running Shoes(only left 10 and more size) / Expired Nike Men's KO Sphere 2.0 Training Hoodie / Expired Nike Men's Libretto Soccer Shorts / Expired Nike Men's Lunar Fly 306 Shoes / Expired Nike Girls' ""My Trophy"" T-Shirt / Expired $7.48 + Free Shipping Nike Boys' Rio II Soccer Shorts","Nike Store offers the Nike LunarGlide 6 Men's Running Shoes in 2 colors for $56.23, via coupon code ""DOMINATE"".
Free shipping.
Deal ends 11/30.  / Nike Store offers the Nike Men's KO Sphere 2.0 Training Hoodie for $41.23 via coupon code ""DOMINATE"".
Free shipping.
Deal ends 11/30. / Nike Store offers the Nike Men's Libretto Soccer Shorts for $14.98 via coupon code ""DOMINATE"".
Free shipping.
Deal ends 11/30. / Nike Store offers the Nike Men's Lunar Fly 306 Shoes in Green/Yellow for $41.23 via coupon code ""DOMINATE"".
Free shipping.
Deal ends 11/30. / Nike Store offers the Nike Girls' ""My Trophy"" T-Shirt for $7.48 via coupon code ""DOMINATE"".
Free shipping.
Deal ends 11/30. / Nike Store offers the Nike Boys' Rio II Soccer Shorts in many colors for $7.48 via coupon code ""DOMINATE"".
Free shipping.
Deal ends 11/30.",2014-11-21,11.0,29.0,0.0,2014,11,2014-11,2014,11,2014-11
2014-12-02,Expired Up to 50% Off + Extra 25% Off Nike Clearance Sale @ Nike Store / Expired Nike Max Air Team Training Backpack / Expired Up to 40% Off + Extra 25% Off Nike Air Max Shoes @ Nike Store / Expired Nike Free Tr 5.0 Premium Men's Cross Training Shoes,"Ends Tonight! Nike Store offers up to 50% off Clearance Sale
Plus an extra 25% Off Clearance + Free Shipping with code ""DOMINATE"".
Deal ends 12/2

Dealmoon Recommends:
Clearance Jordan Shoes
Men's Clearance
Women's Clearance
Boys' Clearance
Girls' Clearance / Nike Store offers the Nike Max Air Team Training Backpack for $33.73 via coupon code ""DOMINATE"".
Free shipping.
Deal ends 12/2. / Nike Store offers Up to 40% Off Nike Air Max Shoes  .
Also,Get Extra 25% Off CLEARANCE MERCHANDISE  via coupon code ""DOMINATE"".
Free shipping.
Deal ends 12/2. / Lowest price ever! Nike Store offers the Nike Free Tr 5.0 Premium Men's Cross Training Shoes for $48.72 via coupon code ""DOMINATE"".
Free shipping.
Deal ends 12/2.",2014-11-21,76.0,488.0,1.0,2014,11,2014-11,2014,12,2014-12
2014-12-19,"Expired Up to 50% Off Select Men's, Women's and Kids' Clearance Items @ Nike Store","Nike Store offers Up to 50% off select men's, women's and kids' clearance items.
Free shipping.
Deal ends 12/19.",2014-12-15,4.0,18.0,0.0,2014,12,2014-12,2014,12,2014-12
2015-01-04,Expired Extra 25% Off Clearance Items @ Nike Store / Expired Nike Men's US N98 Authentic International Track Jacket,"Nike Store offers an Extra 25% Off Clearance items via coupon code ""HATTRICK"".
Free 2-day Shipping on orders over $75 via coupon code ""ZOOM"".(codes can stack)
Deal expires 1/4/2014. / Nike Store offers the Nike Men's US N98 Authentic International Track Jacket for $37.48.
Shipping fee is $8.
Deal ends 1/4.",2014-12-28,48.0,117.0,0.0,2014,12,2014-12,2015,1,2015-01
2015-05-19,Expired Up to 50% Off + Extra 20% Off Clearance Items @ Nike Store / Expired NIKE INTERNATIONALIST / Expired Up to 50% Off + Extra 20% Off Clearance Items @ Nike Store / Expired Up to 30% Off + Extra 20% Off Jordan Items @ Nike Store / Expired Nike Men's Air Trainer Huarache Premium Shoes 705427-001 / Expired Nike Air Max 1 Shoes / Expired Up to 40% Off Select Nike Air Max on Sale @ Nike Store,"Nike Store offers Up to 50% off select clearance items.
Plus an extra 20% off Clearance Items. Use code ""BESTINU""
Free shipping on orders over $75.
Deal expires 5/19.

Mens | Womens | Boys | Girls / Nike Store offers the NIKE INTERNATIONALIST for $55.97 via coupon code ""BESTINU"".
Free Shipping on orders over $75.
Deal ends 5/19. / Nike Store offers Up to 50% off select clearance items.
Plus an extra 20% off Clearance Items. Use code ""BESTINU""
Free shipping on orders over $75.
Deal expires 5/19.

Mens | Womens | Boys | Girls / Nike Store offers an Up to 30% Off + Extra 20% Off Jordan Items via coupon code ""BESTINU"".
Free Shipping on orders over $75.
Deal ends 5/19. / Nike Store offers the Nike Men's Air Trainer Huarache Premium Shoes 705427-001 for $67.98 via coupon code ""BESTINU"".
Limited size.
Free Shipping on orders over $75.
Deal ends 5/19. / Nike Store offers the Nike Air Max 1 for $71.97 via coupon code ""BESTINU"".
Free Shipping on orders over $75.
Deal expires 5/19. / Nike Store offers Up to 40% Off Select Nike Air Max on Sale.
Plus an extra 20% off Clearance Items. Use code ""BESTINU""
Free shipping on orders over $75.
Deal expires 5/19.",2015-05-09,339.0,1059.0,0.0,2015,5,2015-05,2015,5,2015-05
2015-08-25,Expired Nike Men's LunarGlide 6 Running Shoes / Expired Nike Roshe One @ Nike Store,"Nike Store offers the Nike Men's LunarGlide 6 Running Shoes for $51.98 via coupon code ""BACK2SPORT"".
Free shipping with Nike+ Account.
Deal ends 8/25.

Features：Engineered foam upper with perforations for support and ventilation, Dynamic Fit technology works with Flywire cables for a glove-like fit, Thin bootie for a seamless interior, Updated heel clip for extra support
  / Nike Store offers the Nike Roshe One for $47.98 via coupon code ""BACK2SPORT""（limited sizes）.
Free Shipping with Nike+ Account .
Deal ends 8/25.

Features: With a name inspired by that of a Zen Master, these sneakers were designed to be as simple as possible, giving you only what you need and none of what you don't.The Nike Roshe One Men's Casual Shoes are versatile enough to be worn on your next run and as your favorite everyday casual shoes.",2015-08-18,25.0,154.0,0.0,2015,8,2015-08,2015,8,2015-08
2015-11-02,Expired Up to 40% Off + Extra 20% Off Select Roshe Clearance Shoes @ Nike Store / Expired NIKE CLASSIC KIDS' BACKPACK / Expired Up to 40% Off + Extra 20% Off Select Internationalist Shoes @ Nike Store / Expired Nike Women's Dunk Sky Hi Liberty Shoes / Expired Nike Men's Flex Supreme TR 4 Training Shoes / Expired Nike Men's Trainerendor Shoes / Expired Nike Men's Dual Fusion X Running Shoes,"Nike Store offers Up to 40% Off Select Roshe Clearance Shoes.
Plus get extra 20% off via coupon code ""GETFIT"".
Free shipping for Nike+ members (free to sign up ).
Deal expires 11/2. / NIKE offers the NIKE CLASSIC KIDS' BACKPACK for $11.98 with code GETFIT
Free shipping for Nike+ members (Join for Free)
Deal ends 11/2

Adjustable, padded shoulder straps for a comfortable fit, Zip main compartment for spacious storage, Zip exterior pocket for small items / Nike Store offers Up to 40% Off Select Internationalist Shoes.
Plus get extra 20% off via coupon code ""GETFIT"".
Free shipping for Nike+ members (free to sign up ).
Deal expires 11/2. / Nike Store offers the Nike Women's Dunk Sky Hi Liberty Shoes for $115.98 via coupon code ""GETFIT"".
Free shipping for Nike+ members (free to sign up).
Deal ends 11/2.

Features: Combination textile and leather upper for a comfortable fit and durability, Lightweight EVA midsole for cushioning, Hidden 2.6"" wedge heel for a feminine yet sporty silhouette, Solid rubber outsole for durability and traction. / Nike Store offers the Nike Men's Flex Supreme TR 4 Training Shoes for $51.98 via coupon code ""GETFIT"".
Free shipping.
Deal ends 11/2. / Nike Store offers the Nike Men's Trainerendor Shoes for $55.98 via coupon code ""GETFIT"".
Free shipping for Nike+ members (free to sign up).
Deal ends 11/2. / Nike Store offers the Nike Men's Dual Fusion X Running Shoes for $47.98 via coupon code ""GETFIT"".
Free shipping for Nike+ members (free to sign up).
Deal expires 11/2.",2015-10-25,145.0,509.0,24.0,2015,10,2015-10,2015,11,2015-11
2015-12-01,Expired Ends Today! Up to 60% Off + Extra 25% off CLEARANCE @ Nike / Expired NIKE INTERNATIONALIST FLEECE Women Sneakers On Sale @ Nike Store,"Nike Store offers Up to 60% Off + Extra 25% off CLEARANCE via coupon code ""GETOUTHERE"".
Free shipping with Nike+ Account.
Deal ends 12/1.

Men | Women | Boys | Girls / Nike Store offers the NIKE INTERNATIONALIST FLEECE for $67.47 via coupon code ""GETOUTHERE"".
Free shipping with Nike+ Account.
Deal ends 12/1.",2015-11-26,351.0,1595.0,435.0,2015,11,2015-11,2015,12,2015-12
