End_date,Title,Description,Posted_date,Comments_count,Bookmarks_count,Shares_count,Posted_year,Posted_month,Posted_month_year,End_year,End_month,End_month_year
2016-03-20,"Expired Additional 40% Off Outlet Apparel, Shoes & Accessories @ adidas","adidas offers Additional 40% Off Outlet Apparel, Shoes & Accessories.
Free shipping.
Deal ends 3/20.",2016-03-07,2.0,138.0,25.0,2016,3,2016-03,2016,3,2016-03
2016-05-31,Expired Up to 50% Off + Extra 20% off + + Extra 20% off Sale Items @ adidas,"adidasgolf offers an Up to 50% Off + Extra 20% off Sale Items.(discount applied automatically in cart )
Plus, get an extra 20% off via coupon code ""ADIDAS20"".
Free shipping.
Deal ends 5/31.",2016-05-20,1.0,11.0,7.0,2016,5,2016-05,2016,5,2016-05
2016-06-19,Expired $31.5 Infants Originals Superstar Foundation Shoes @ Adidas / Expired $56 WOMEN'S ORIGINALS SUPERSTAR SHOES @ adidas / Expired 30% Off adidas Stan Smith Shoes On Sale @ adidas / Expired 80.5 WOMEN'S ORIGINALS STAN SMITH SHOES On Sale @ adidas / Expired Extra 30% Off Sitewide @ adidas / Expired adidas Originals Men's Tubular Radial Shoes / Expired 30% Off adidas Super Star Collections On Sale @ adidas / Expired $58.8 MEN'S ORIGINALS TUBULAR X SHOES On Sale @ adidas / Expired 30% Off adidas X PHARRELL WILLIAMS Collection On Sale @ adidas / Expired 63 WOMEN'S ORIGINALS STAN SMITH SHOES On Sale @ adidas / Expired $160 MEN'S ORIGINALS EQT RACING 93 PRIMEKNIT SHOES On Sale @ adidas / Expired $170 MEN'S ORIGINALS EQT RUNNING GUIDANCE PRIMEKNIT SHOES On Sale @ adidas / Expired 84 WOMEN'S ORIGINALS SUPERSTAR SHOES On Sale @ adidas / Expired 84 WOMEN'S ORIGINALS SUPERSTAR 80S PRIMEKNIT SHOES On Sale @ adidas / Expired 105 WOMEN'S ORIGINALS STAN SMITH SHOES On Sale @ adidas,"adidas offers the Infants Originals Superstar Foundation Shoes @ Adidas for $31.5 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19. / adidas offers the WOMEN'S ORIGINALS SUPERSTAR SHOES for $56 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19.
  / adidas offers Extra 30% off adidas Stan Smith Shoes via coupon code ""FRIENDS30"".
Search ""stan smith""
Free shipping.
Deal expires 6/19. / adidas offers the WOMEN'S ORIGINALS STAN SMITH SHOES for $80.5 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19. / adidas offers an Extra 30% Off Sitewide via coupon code ""FRIENDS30"".
Free shipping.
Please search the items by keywords. 
Partially limited sizes
Exclusions apply.
Deal expires 6/19. / adidas offers the adidas Originals Men's Tubular Radial Shoes for $53.9 via coupon code ""FRIENDS30"".
Please search the items by keywords. 
Free shipping.
Deal ends 6/19. / adidas offers Extra 30% off adidas Super Star Collections via coupon code ""FRIENDS30"".
Search ""Super Star""
Free shipping.
Deal expires 6/19. / adidas offers the MEN'S ORIGINALS TUBULAR X SHOES for $58.8 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19. / adidas offers the 30% off adidas X PHARRELL WILLIAMS via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19. / adidas offers the WOMEN'S ORIGINALS SUPERSTAR SHOES for $63 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19. / adidas offers the MEN'S ORIGINALS EQT RACING 93 PRIMEKNIT SHOES for $160 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19. / adidas offers the MEN'S ORIGINALS EQT RUNNING GUIDANCE PRIMEKNIT SHOES for $170 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19. / adidas offers the WOMEN'S ORIGINALS SUPERSTAR SHOES for $63 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19.
  / adidas offers the WOMEN'S ORIGINALS SUPERSTAR SHOES for $84 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19.
  / adidas offers the WOMEN'S ORIGINALS SUPERSTAR SHOES for $105 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/19.",2016-06-12,570.0,1261.0,712.0,2016,6,2016-06,2016,6,2016-06
2016-11-11,Expired 30% Off Gazelle Sneakers On Sale @ adidas,"Adidas offers 30% off Gazelle sneakers on sale via coupon code ""DEALMOON"". 
Free shipping.
Deal ends 11/11 @ 11:59am PST.
 ",2016-11-07,1.0,68.0,29.0,2016,11,2016-11,2016,11,2016-11
2016-11-20,"Expired $20 OFF $100, $50 OFF $175, $100 OFF $300 Z.N.E. @ adidas Dealmoon Exclusive! / Expired $20 OFF $100, $50 OFF $175, $100 OFF $300 Buy More Save More Event @ adidas / Expired Up to $100 Off on Women's Shoes @ adidas","adidas offers $20 OFF $100, $50 OFF $175, $100 OFF $300 with code BMSMNOV. （limited sizes）
Free shipping on all orders.
Deal expires 11/20/2016 at 11:59pm (PST). / adidas offers $20 OFF $100, $50 OFF $175, $100 OFF $300 with code BMSMNOV
Deal expires 11/20/2016 at 11:59pm (PST)
Free shipping on all orders.

Terms:
Limited time offer expires 11/20/2016 at 11:59pm (PST). Offer is good for entire purchase. Enter code BMSMNOV at checkout to apply discount. Offer cannot be combined with other offers. Offer is not valid on prior purchases. Some exclusions apply including but not limited to Ultra Boost, Pure Boost 2, Stan Smith, miCoach hardware, and gift cards. Valid on domestic U.S. orders only.
  / adidas offers up to $300 off women's shoes via coupon code BMSMNOV
Get $20 off $100;
Get $50 off $175;
Get $100 off $300.
Deal expires 11/20/2016 at 11:59pm (PST)
Free shipping on all orders.

Terms and conditions:
Limited time offer expires 11/20/2016 at 11:59pm (PST). Offer is good for entire purchase. Enter code BMSMNOV at checkout to apply discount. Offer cannot be combined with other offers. Offer is not valid on prior purchases. Some exclusions apply including but not limited to Ultra Boost, Pure Boost 2, Stan Smith, miCoach hardware, and gift cards. Valid on domestic U.S. orders only.",2016-11-10,189.0,851.0,293.0,2016,11,2016-11,2016,11,2016-11
2016-12-11,Expired 30% Off Kids Apparel Sale @ adidas / Expired 30% Off WOMEN ORIGINALS APPAREL @ adidas / Expired 30% Off Selected Superstar Sneakers @ adidas / Expired 30% Off Z.N.E. @ adidas / Expired 30% Off Gazelle Sneakers On Sale @ adidas,"Adidas offers 30% off Kids Apparel Sale via coupon code ""AFF30"".
Free shipping.
Deal ends 12/11. / Adidas offers 30% off WOMEN ORIGINALS APPAREL via coupon code ""AFF30"". 
Free shipping.
Exclusions apply.
Deal ends 12/11. / Adidas offers 30% off Stan Smith sneakers via coupon code ""AFF30"".
Free shipping.
Deal ends 12/11. / Adidas offers 30% off  Z.N.E. via coupon code ""AFF30"".
Exclusions apply.
Free Shipping.
Deal ends 12/11. / Adidas offers 30% off Gazelle sneakers on sale via coupon code ""AFF30"".
Free shipping.
Deal ends 12/11.
 ",2016-12-05,159.0,743.0,197.0,2016,12,2016-12,2016,12,2016-12
2016-12-13,Expired 1 Day Only! Buy More Save More! $15 off $75! $25 off $100 or $40 off $150 @ adidas,"Adidas offers 1 day only! buy more save more! $15 off $75! $25 off $100 or $40 off $150 via coupon code ""SAVEMORE"".
Exclusions apply.
Free shipping.
Deal ends 12/13 02:59 AM EST.",2016-12-09,8.0,37.0,12.0,2016,12,2016-12,2016,12,2016-12
2017-02-20,Expired 30% Off on Select Women's Training Apparel @ adidas,"Adidas offers 30% off on select women's training apparel via coupon code ""TRAINING30"".
Free shipping.
Exclusions apply.
Deal ends 2/20.",2017-02-05,0.0,41.0,19.0,2017,2,2017-02,2017,2,2017-02
2017-03-08,Expired Dealmoon Exclusive Early Access! 30% off Select Items @ Adidas! / Expired $35 WOMEN'S ADIDAS BY STELLA MCCARTNEY ADISSAGE SLIDES @ adidas,"Dealmoon Birthday Exclusive!
Adidas offers 30% off select items via coupon code ""SPRINGMOON"".
Exclusions apply.
Free Shipping.
Deal ends 3/8. / Dealmoon Birthday Exclusive!
Adidas offers the WOMEN'S ADIDAS BY STELLA MCCARTNEY ADISSAGE SLIDES for $35 via coupon code ""SPRINGMOON"".
Free shipping.
Deal ends 3/8.",2017-03-03,67.0,185.0,72.0,2017,3,2017-03,2017,3,2017-03
2017-06-18,Expired Extra 30% Off Slides @ adidas / Expired Extra 30% Off EQT Sneakers On Sale @ adidas / Expired Extra 30% Off Friends & Family Sitewide Sale@ adidas / Expired 30% Off Selected Superstar Sneakers @ adidas / Expired Extra 30% Off Track Suits On Sale @ adidas / Expired Extra 30% Off TUBULAR SHADOW On Sale @ adidas / Expired $63 WOMEN'S ORIGINALS CAMPUS SHOES @ adidas / Expired Extra 30% Off+ Free Shipping Adidas Men's Sitewide Sale / Expired Extra 30% Off Select NMD Sneakers @ adidas / Expired Extra 30% Off Women's Sale @ adidas,"Adidas offers extra 30% off Slides on sale via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/18 11:59pm PST. / Adidas offers extra 30% off EQT sneakers via coupon code ""FRIENDS30"". 
Deal ends 6/18 11:59pm PST.
Free shipping. / Adidas offers an extra 30% off Friends & Family sale + get free expedited shipping via coupon code ""FRIENDS30"".
OFFER VALID AT ADIDAS.COM IN THE UNITED STATES ONLY.
Free shipping.
Exclusions apply.
Deal ends 6/18 11:59pm PST.
  EXCLUSIONS:GIFT CARDS AND SELECT BOOST, SUPERSTAR, STAN SMITH, YEEZY AND NMD footwear. MAY NOT BE COMBINED WITH OTHER OFFERS. LIMIT ONE PER TRANSACTION PER CUSTOMER. / Adidas offers 30% off Superstar sneakers via coupon code ""FRIENDS30"".
Free shipping.
Exclusions apply.
Deal ends 6/18 11:59pm PST. / Adidas offers extra 30% off EQT sneakers via coupon code ""FRIENDS30"". 
Deal ends 6/18 11:59pm PST.
Free shipping. / Adidas offers extra 30% off TUBULAR SHADOW via coupon code ""FRIENDS30"". 
Deal ends 6/18 11:59pm PST.
Free shipping. / Adidas offers the WOMEN'S ORIGINALS CAMPUS SHOES for $63 via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/18 11:59pm PST. / Adidas offers an extra 30% off+ free shipping Adidas Men's Sitewide Sale via coupon code ""FRIENDS30"".
OFFER VALID AT ADIDAS.COM IN THE UNITED STATES ONLY.
Free shipping.
Exclusions apply.
Deal ends 6/18. / Adidas offers an extra 30% off Friends & Family sale + get free expedited shipping via coupon code ""FRIENDS30"".
OFFER VALID AT ADIDAS.COM IN THE UNITED STATES ONLY.
Free shipping.
Exclusions apply.
Deal ends 6/18 11:59pm PST.
  EXCLUSIONS:GIFT CARDS AND SELECT BOOST, SUPERSTAR, STAN SMITH, YEEZY AND NMD footwear. MAY NOT BE COMBINED WITH OTHER OFFERS. LIMIT ONE PER TRANSACTION PER CUSTOMER. / Adidas offers an extra 30% off women's sale on sale via coupon code ""FRIENDS30"".
Free shipping.
Deal ends 6/18 11:59pm PST.",2017-06-12,1109.0,2909.0,1801.0,2017,6,2017-06,2017,6,2017-06
