Brand,Title,Description,Posted_date,End_date,Comments_count,Bookmarks_count,Shares_count
KateSpade,$119（Org：298） carter kylie @ kate spade,"Kate spade offers the $119（org：298） carter kylie.
Free shipping.
Deal ends 6/29.
$119.00 $298.00
Kate Spade carter kylie
$119.00 $298.00
Kate Spade carter kylie",06/24/2019,06/29/2019,,4,
KateSpade,Start at $12 Acceccsories sale @ kate spade,"Kate spade offers start at $12 Acceccsories sale.
Free shipping.
$12.00 $28.00
Kate Spade sam double sticker pocket
$54.00 $128.00
Kate Spade margaux phone crossbody
$56.40 $118.00
Kate Spade marker floral embroidery trilby",06/23/2019,,1,6,
KateSpade,Expired $69（Org. $249） Tote bag @ kate spade,"kate spade offers the $69（org. $249） Tote bag.
Free shipping.
Deal ends 6/20 23:59 PST.
$69.00 $249.00
Kate Spade dawn medium satchel
$69.00 $249.00
Kate Spade dawn medium satchel
$69.00 $249.00
Kate Spade dawn medium satchel",06/20/2019,06/20/2019,,2,2
KateSpade,Expired Up To 75% Off+10% Off Wallets @ kate spade,"Kate spade offers wallets up to 75% off.
Plus，10% off your order of $150+ via coupon code ""EXTRAEXTRA"".
Free shipping.",06/20/2019,,2,7,5
KateSpade,Expired $79（Org：$279） Logo tote @ kate spade,"kate spade offers the $79（org：$279） Logo tote.
Free shipping.
Deal ends 6/19 23:59 PST.
$79.00 $279.00
Kate Spade ash street logo triple compartment tote
$79.00 $279.00
Kate Spade ash street logo triple compartment tote
$79.00 $279.00
Kate Spade ash street logo triple compartment tote",06/19/2019,06/19/2019,2,3,2
KateSpade,Expired 25% Off + Extra 10% Off $150+ Bundles @ Kate Spade,"Kate spade offers 25% off Bundles via coupon code ""MAKEITTWO"".
Plus, get extra10% off with $150+ purchase, via coupon code ""EXTRAEXTRA"".
Free shipping.
Deal ends 6/18.
$89.00 $308.00
Get extra 10% Off with $150
Kate Spade laurel way rima and bitsy bundle in dusty peony
$119.00 $458.00
Get extra 10% Off with $150
Kate Spade bay street small rachelle and tellie bundle in hot chili
$119.00 $488.00
Get extra 10% Off with $150
Kate Spade bay street small rachelle and tellie bundle in warm vellum and black",06/19/2019,06/18/2019,,3,10
KateSpade,Expired up to 75% off + 10% Off Your Order of $150 Bag Sale @ Kate Spade,"Kate spade offers Bag Sale up to 75% off + 10% off your order of $150 via coupon code ""EXTRAEXTRA"".
Get Bundles,  via coupon code ""MAKEITTWO"".
Free shipping.
Deal ends 6/18.
$29.00 $139.00
sanders place dina
$99.00 $249.00
laurel way glitter maisie
$99.00 $328.00
Kate Spade hayes small satchel",06/18/2019,06/18/2019,5,17,11
KateSpade,Expired $139（org. $328） Large Sylvia Dome @ Kate Spade,"Kate spade offers the $139 Large Sylvia Dome for $139 via coupon code ""PERFECT"".
Free shipping.
Deal ends 6/17.
$139.00 $348.00
Kate Spade sylvia perforated large satchel
$139.00 $328.00
Kate Spade sylvia large dome satchel
$139.00 $328.00
Kate Spade sylvia large dome satchel",06/18/2019,06/17/2019,2,2,7
KateSpade,Expired laurel way winni @ kate spade,"Kate spade offers the laurel way winni for $49.
Free shipping.",06/18/2019,,3,,3
KateSpade,Expired $49（Org：$199） laurel way winni @ kate spade,"Kate spade offers the $49（org：$199） laurel way winni.
Free shipping.
$49.00 $199.00
Kate Spade laurel way winni
$49.00 $199.00
Kate Spade laurel way winni",06/17/2019,,11,13,4
KateSpade,"Expired Buy 2 or more, get 40% Off Full-priced jewelry @ kate spade","Kate spade offers buy two or more, get 40% off Full-priced jewelry.
Free shipping.
$34.80 $58.00
Buy 2 get 40 % Off
Kate Spade legacy logo spade flower ring
$40.80 $68.00
Buy 2 get 40 % Off
Kate Spade legacy logo spade flower huggies
$76.80 $128.00
Buy 2 get 40 % Off
Kate Spade heritage spade double wrap leather bracelet",06/14/2019,,6,8,
KateSpade,Expired 30% Off Suzy Bag Sale @ kate spade,"Kate spade offers Suzy Bag Sale 30% off via coupon code ""BETTERTOGETHER"".
Free shipping.
Deal ends 6/10.
$264.60 $378.00
Kate Spade suzy large saddle bag
$250.60 $358.00
Kate Spade suzy large saddle bag
$278.60 $398.00
Kate Spade suzy scallop large saddle bag",06/12/2019,06/10/2019,2,5,10
KateSpade,Expired Last Day: 30% Off Sitewide Sale @ kate spade,"Kate spade offers 30% off Sitewide Sale via coupon code ""BETTERTOGETHER"".
Free shipping.
Deal ends 6/10.
Hottest
wallet
Handbags
Jewelry
Shoes
Hottest
$278.60 $398.00
Kate Spade suzy scallop large saddle bag
Hottest
$348.60 $498.00
Kate Spade nicola bicolor large tote
Hottest
$250.60 $358.00
Kate Spade dorie medium bucket bag",06/10/2019,06/10/2019,64,120,112
KateSpade,Expired 30% Off Sale @ kate spade,"Kate spade offers 30% off Sale via coupon code ""BETTERTOGETHER"".
Free shipping.
Deal ends 6/10.
$170.80 $348.00
Kate Spade nicola bicolor small shoulder bag
$28.70 $68.00
Kate Spade penguin cardholder
$28.70 $58.00
Kate Spade nicola bicolor cardholder",06/10/2019,06/10/2019,2,13,3
KateSpade,Expired Up to 60% Off Sale on Sale @ Kate Spade,"Kate spade offers up to 60% off sale on sale
Free shipping.
Deal ends 6/5.
Hottest
Wallet
Handbags
Jewelry
Shoes&Clothing
Hottest
$160.00 $228.00
Kate Spade heart it penelope
Hottest
$262.00 $328.00
Kate Spade cameron street lottie
Hottest
$160.00 $228.00
Kate Spade watson lane quilted maya",06/06/2019,06/05/2019,11,43,47
KateSpade,Expired $129（Org:$328） Tote bag @ kate spade,"Kate spade offers the $129（org:$328） Tote bag via coupon code ""PERFECT"".
Free shipping.
$129.00 $328.00
Kate Spade jackson street kristine
$129.00 $328.00
Kate Spade jackson street kristine",06/05/2019,,,2,1
KateSpade,Expired $129 Deal of the Day Jackson Street @ Kate Spade,"Kate spade offers $129 Deal of the Day Jackson Street via coupon code ""PERFECT"".
Free shipping.
Deal ends 6/5.
$129.00 $298.00
Kate Spade jackson street small octavia
$129.00 $298.00
Kate Spade jackson street small octavia
$99.00 $258.00
Kate Spade jackson street hayley",06/05/2019,06/05/2019,5,12,20
KateSpade,Expired 25% Off + Extra 10% Off $150+ Bundles @ Kate Spade,"Kate spade offers 25% off Bundles via coupon code ""MAKEITTWO"".
Plus, get extra10% off with $150+ purchase, via coupon code ""EXTRAEXTRA"".
Free shipping.
Deal ends 6/2.
$169.00 $573.00
extra 10% off with $150 purchase
Kate Spade montford park jovie
$149.00 $528.00
extra 10% off with $150 purchase
Kate Spade laurel way ric rac small dally and leoni bundle in black
$159.00 $516.00
extra 10% off with $150 purchase
Kate Spade newbury lane small loden",06/02/2019,06/02/2019,21,43,31
KateSpade,Expired Up to 75% Off+10% Off with $150 Animal collections @ kate spade,"Kate spade offers up to 75% off+10% off with $150 Animal collections via coupon code ""EXTRAEXTRA"".
Free shipping.
Deal ends 6/1.
$39.00 $98.00
Kate Spade by the pool passport holder
$99.00 $329.00
star bright owl mini hadlee
$59.00 $129.00
Kate Spade bee my honey cloche",06/02/2019,06/01/2019,10,28,21
KateSpade,Expired Up to 75% Off + 10% Off Your Order Of $150 @ kate spade,"Kate spade offers up to 75% off + 10% off your order of $150 via coupon code ""EXTRAEXTRA"".
Get Bundles,  via coupon code ""MAKEITTWO"".
Free shipping.
Deal ends 6/1 20:59.
Hottest
wallet
handbag
jewelry
Clothing&Accessories
Hottest
$99.00 $329.00
star bright owl mini hadlee
Hottest
$139.00 $358.00
Kate Spade vivian medium bucket bag
Hottest
$39.00 $98.00
Kate Spade by the pool passport holder",06/02/2019,06/01/2019,109,380,253
KateSpade,Expired Get a bag and two flaps Make it mine bundles @ kate spade,"Kate spade offers get a bag and two flaps Make it mine bundles via coupon code ""MAKEITMINE"".
Free shipping.
$98.00
Get a bag and two flaps from $238
make it mine cat flap
$98.00
Get a bag and two flaps from $238
make it mine penguin flap
$98.00
Get a bag and two flaps from $238
Kate Spade make it mine antoine flap",05/30/2019,,,4,2
KateSpade,Expired Extra 30% Off + Free Shipping Sale on Sale @ Kate Spade,"Kate spade offers an extra 30% off Sale on Sale via coupon code ""POUNCE"".
Free shipping.
Deal ends 5/29.
Hottest
Wallet
Handbags
Jewelry
Shoes&Clothing
Hottest
$195.30 $398.00
Kate Spade heart it marci
Hottest
$170.80 $348.00
Kate Spade dashing beauty penguin small lottie
Hottest
$21.00 $50.00
Kate Spade cameron street houndstooth cardholder",05/29/2019,05/29/2019,54,184,119
KateSpade,Expired Extra 30% Off Handbags @ kate spade,"Kate spade offers an extra 30% off Handbags via coupon code ""POUNCE"".
Free shipping.
Deal ends 5/29.
$170.80 $348.00
Kate Spade dashing beauty penguin small lottie
$195.30 $398.00
Kate Spade heart it marci
$244.30 $498.00
Kate Spade nicola bicolor large tote",05/27/2019,05/29/2019,1,12,8
KateSpade,Expired Extra 30% Off Pink Collection @ kate spade,"Kate spade offers an extra 30% off Pink Collection via coupon code ""POUNCE"".
Free shipping.
Deal ends 5/29.
$195.30 $398.00
Kate Spade heart it marci
$48.30 $98.00
Kate Spade blake street dot gabe
$38.50 $78.00
Kate Spade wedding belles i do i did passport holder",05/27/2019,05/29/2019,6,13,10
KateSpade,Expired Extra 30% Off Jewelry sale @ kate spade,"Kate spade offers an extra 30% off Jewelry sale via coupon code ""POUNCE"".
Free shipping.
Deal ends 5/29.
$21.70 $52.00
Kate Spade scrunched scallops pave star bracelet
$23.80 $48.00
Kate Spade lips metal slider bracelet
$63.00 $128.00
Kate Spade heritage spade thin floral enamel bangle",05/27/2019,05/29/2019,6,21,10
KateSpade,Expired Up To 75%+10% Off Clothing @ kate spade,"Kate spade offers clothing up to 75%.
Plus，10% off your order of $150+ via coupon code ""EXTRAEXTRA"".
Free shipping.
Deal ends 5/28
$29.00 $68.00
Kate Spade broome street pineapple shades tee
$29.00 $68.00
Kate Spade broome street strut your stuff tee
$39.00 $68.00
Kate Spade broome street bee my honey tee",05/27/2019,05/28/2019,10,36,15
KateSpade,Expired Up To 75% Off+10% Off Jewelries @ kate spade,"Kate spade offers jewelries up to 75% off.
Plus，10% off your order of $150+ via coupon code ""EXTRAEXTRA"".
Free shipping.
Deal ends 5/28.
$29.00 $48.00
extra 10% off with $150 purchase
picnic perfect bee ear pins
$25.00 $88.00
extra 10% off with $150 purchase
Kate Spade things we love pave elephant hinged bangle
$35.00 $78.00
extra 10% off with $150 purchase
Kate Spade my precious heart fringe earring",05/27/2019,05/28/2019,28,141,65
KateSpade,Expired Extra 30% Off Wallets & Card Case @ kate spade,"Kate spade offers an extra 30% off Wallets & Card Case via coupon code ""POUNCE"".
Free shipping.
Deal ends 5/29.
$82.60 $168.00
Kate Spade nicola bicolor clutch wallet
$48.30 $98.00
Kate Spade blake street dot gabe
$24.50 $58.00
Kate Spade intarsia scallop cardholder",05/26/2019,05/29/2019,5,28,13
KateSpade,Expired $99 Deal of the day @ kate spade,"Kate spade offers the $69 Org.$229 Deal of the day. via coupon code ""MAKEITTOW"".
Free shipping.
$99.00 $398.00
Kate Spade  sanders place avva and dina bundle in black
$129.00 $528.00
Kate Spade laurel way ric rac small dally and leoni bundle in black",05/22/2019,,23,60,39
KateSpade,From $29 Selet Sets @ kate spade,"Kate spade offers Selet Sets from $29 via coupon code ""MAKEITTWO"".
Free shipping.
$99.00 $254.00
Kate Spade laurel way large carsen and bitsy bundle in blue dawn
$99.00 $254.00
Kate Spade laurel way large carsen and bitsy bundle in dusty peony
$149.00 $458.00
Kate Spade bay street small rachelle and tellie bundle in hot chili",05/22/2019,,4,37,22
KateSpade,Expired Up To 75% Off+10% Off Wallets @ kate spade,"Kate spade offers wallets up to 75% off.
Plus，10% off your order of $150+ via coupon code ""EXTRAEXTRA"".
Free shipping.
$22.00 $119.00
Kate Spade star bright owl poppy
$19.00 $58.00
Kate Spade blake street dot lynleigh
$25.00 $79.00
laurel way lipstick hearts bitsy",05/22/2019,,2,19,17
